Park,Region,State,Year,Month,Recreation Visits
Arches,Intermountain,UT,2012,January,14961
Arches,Intermountain,UT,2012,February,17870
Arches,Intermountain,UT,2012,March,72273
Arches,Intermountain,UT,2012,April,103800
Arches,Intermountain,UT,2012,May,142876
Arches,Intermountain,UT,2012,June,143482
Arches,Intermountain,UT,2012,July,145696
Arches,Intermountain,UT,2012,August,139036
Arches,Intermountain,UT,2012,September,139801
Arches,Intermountain,UT,2012,October,96310
Arches,Intermountain,UT,2012,November,36170
Arches,Intermountain,UT,2012,December,18302
Arches,Intermountain,UT,2013,January,11099
Arches,Intermountain,UT,2013,February,16426
Arches,Intermountain,UT,2013,March,73935
Arches,Intermountain,UT,2013,April,108086
Arches,Intermountain,UT,2013,May,149321
Arches,Intermountain,UT,2013,June,154505
Arches,Intermountain,UT,2013,July,156182
Arches,Intermountain,UT,2013,August,147259
Arches,Intermountain,UT,2013,September,143755
Arches,Intermountain,UT,2013,October,57446
Arches,Intermountain,UT,2013,November,43928
Arches,Intermountain,UT,2013,December,20924
Arches,Intermountain,UT,2014,January,17038
Arches,Intermountain,UT,2014,February,22559
Arches,Intermountain,UT,2014,March,89841
Arches,Intermountain,UT,2014,April,122186
Arches,Intermountain,UT,2014,May,165379
Arches,Intermountain,UT,2014,June,170286
Arches,Intermountain,UT,2014,July,169844
Arches,Intermountain,UT,2014,August,173416
Arches,Intermountain,UT,2014,September,165222
Arches,Intermountain,UT,2014,October,115545
Arches,Intermountain,UT,2014,November,46940
Arches,Intermountain,UT,2014,December,26511
Arches,Intermountain,UT,2015,January,20699
Arches,Intermountain,UT,2015,February,34255
Arches,Intermountain,UT,2015,March,103649
Arches,Intermountain,UT,2015,April,138903
Arches,Intermountain,UT,2015,May,179804
Arches,Intermountain,UT,2015,June,189073
Arches,Intermountain,UT,2015,July,195748
Arches,Intermountain,UT,2015,August,173186
Arches,Intermountain,UT,2015,September,171711
Arches,Intermountain,UT,2015,October,115859
Arches,Intermountain,UT,2015,November,49087
Arches,Intermountain,UT,2015,December,27273
Arches,Intermountain,UT,2016,January,20311
Arches,Intermountain,UT,2016,February,33200
